Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): avgA2C
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): avg dist to obstacles and goals instead of closest also using A2C which has shown promising results
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): A2C
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
RESULTS FOR STARTING POSITION: (21,9)
Episode:1 Score:100000.0 Successful:True Number of Steps:3
Episode:2 Score:100000.0 Successful:True Number of Steps:3
Episode:3 Score:100000.0 Successful:True Number of Steps:3
Episode:4 Score:100000.0 Successful:True Number of Steps:3
Episode:5 Score:100000.0 Successful:True Number of Steps:3
Episode:6 Score:100000.0 Successful:True Number of Steps:5
Episode:7 Score:100000.0 Successful:True Number of Steps:3
Episode:8 Score:100000.0 Successful:True Number of Steps:3
Episode:9 Score:100000.0 Successful:True Number of Steps:3
Episode:10 Score:100000.0 Successful:True Number of Steps:3
Episode:11 Score:100000.0 Successful:True Number of Steps:3
Episode:12 Score:100000.0 Successful:True Number of Steps:3
Episode:13 Score:100000.0 Successful:True Number of Steps:3
Episode:14 Score:100000.0 Successful:True Number of Steps:3
Episode:15 Score:100000.0 Successful:True Number of Steps:5
Episode:16 Score:100000.0 Successful:True Number of Steps:3
Episode:17 Score:100000.0 Successful:True Number of Steps:3
Episode:18 Score:100000.0 Successful:True Number of Steps:5
Episode:19 Score:100000.0 Successful:True Number of Steps:3
Episode:20 Score:100000.0 Successful:True Number of Steps:5
Episode:21 Score:100000.0 Successful:True Number of Steps:3
Episode:22 Score:100000.0 Successful:True Number of Steps:3
Episode:23 Score:100000.0 Successful:True Number of Steps:3
Episode:24 Score:100000.0 Successful:True Number of Steps:3
Episode:25 Score:100000.0 Successful:True Number of Steps:3
Episode:26 Score:100000.0 Successful:True Number of Steps:3
Episode:27 Score:100000.0 Successful:True Number of Steps:3
Episode:28 Score:100000.0 Successful:True Number of Steps:3
Episode:29 Score:100000.0 Successful:True Number of Steps:3
Episode:30 Score:100000.0 Successful:True Number of Steps:3
number successful: 30
RESULTS FOR STARTING POSITION: (16,13)
Episode:1 Score:100003.25 Successful:True Number of Steps:17
Episode:2 Score:100004.25 Successful:True Number of Steps:17
Episode:3 Score:100003.25 Successful:True Number of Steps:15
Episode:4 Score:100003.25 Successful:True Number of Steps:15
Episode:5 Score:100004.25 Successful:True Number of Steps:21
Episode:6 Score:99998.25 Successful:True Number of Steps:21
Episode:7 Score:100003.25 Successful:True Number of Steps:15
Episode:8 Score:100003.25 Successful:True Number of Steps:15
Episode:9 Score:100003.5 Successful:True Number of Steps:17
Episode:10 Score:100002.25 Successful:True Number of Steps:24
Episode:11 Score:100003.25 Successful:True Number of Steps:17
Episode:12 Score:100003.25 Successful:True Number of Steps:19
Episode:13 Score:100003.25 Successful:True Number of Steps:17
Episode:14 Score:100003.25 Successful:True Number of Steps:17
Episode:15 Score:100003.25 Successful:True Number of Steps:15
Episode:16 Score:100003.25 Successful:True Number of Steps:15
Episode:17 Score:100003.25 Successful:True Number of Steps:15
Episode:18 Score:100003.5 Successful:True Number of Steps:17
Episode:19 Score:100003.25 Successful:True Number of Steps:17
Episode:20 Score:100003.25 Successful:True Number of Steps:15
Episode:21 Score:100004.0 Successful:True Number of Steps:21
Episode:22 Score:100001.5 Successful:True Number of Steps:22
Episode:23 Score:100000.25 Successful:True Number of Steps:16
Episode:24 Score:100000.5 Successful:True Number of Steps:20
Episode:25 Score:100003.75 Successful:True Number of Steps:19
Episode:26 Score:100003.25 Successful:True Number of Steps:15
Episode:27 Score:100000.25 Successful:True Number of Steps:16
Episode:28 Score:100004.25 Successful:True Number of Steps:17
Episode:29 Score:100003.25 Successful:True Number of Steps:15
Episode:30 Score:100000.25 Successful:True Number of Steps:16
number successful: 30
RESULTS FOR STARTING POSITION: (11,20)
Episode:1 Score:99998.25 Successful:True Number of Steps:26
Episode:2 Score:99999.0 Successful:True Number of Steps:24
Episode:3 Score:99999.0 Successful:True Number of Steps:24
Episode:4 Score:99997.0 Successful:True Number of Steps:27
Episode:5 Score:100002.0 Successful:True Number of Steps:23
Episode:6 Score:100001.0 Successful:True Number of Steps:29
Episode:7 Score:100004.0 Successful:True Number of Steps:27
Episode:8 Score:100002.0 Successful:True Number of Steps:25
Episode:9 Score:100002.0 Successful:True Number of Steps:23
Episode:10 Score:100002.0 Successful:True Number of Steps:23
Episode:11 Score:100002.0 Successful:True Number of Steps:23
Episode:12 Score:100002.0 Successful:True Number of Steps:23
Episode:13 Score:100001.75 Successful:True Number of Steps:27
Episode:14 Score:99999.0 Successful:True Number of Steps:26
Episode:15 Score:99997.0 Successful:True Number of Steps:31
Episode:16 Score:100002.0 Successful:True Number of Steps:23
Episode:17 Score:100002.0 Successful:True Number of Steps:25
Episode:18 Score:100002.0 Successful:True Number of Steps:25
Episode:19 Score:100002.0 Successful:True Number of Steps:23
Episode:20 Score:100002.0 Successful:True Number of Steps:23
Episode:21 Score:99998.25 Successful:True Number of Steps:24
Episode:22 Score:99998.5 Successful:True Number of Steps:28
Episode:23 Score:100000.0 Successful:True Number of Steps:28
Episode:24 Score:99994.75 Successful:True Number of Steps:29
Episode:25 Score:100002.0 Successful:True Number of Steps:27
Episode:26 Score:100001.0 Successful:True Number of Steps:25
Episode:27 Score:100003.0 Successful:True Number of Steps:25
Episode:28 Score:100001.5 Successful:True Number of Steps:25
Episode:29 Score:100002.0 Successful:True Number of Steps:25
Episode:30 Score:100000.5 Successful:True Number of Steps:25
number successful: 30
RESULTS FOR STARTING POSITION: (7,15)
Episode:1 Score:100002.25 Successful:True Number of Steps:11
Episode:2 Score:100002.75 Successful:True Number of Steps:13
Episode:3 Score:100002.25 Successful:True Number of Steps:11
Episode:4 Score:99998.75 Successful:True Number of Steps:14
Episode:5 Score:100002.5 Successful:True Number of Steps:13
Episode:6 Score:100003.5 Successful:True Number of Steps:15
