Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): testingLargerRadiusPPO
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): radius is larger so less sparse and want to see if A2C works better than PPO
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): PPO
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
RESULTS FOR STARTING POSITION: (6,27)
Episode:1 Score:99698.0 Successful:True Number of Steps:268
Episode:2 Score:99532.25 Successful:True Number of Steps:316
Episode:3 Score:-914.75 Successful:False Number of Steps:500
Episode:4 Score:99383.25 Successful:True Number of Steps:362
Episode:5 Score:99627.75 Successful:True Number of Steps:258
Episode:6 Score:99095.25 Successful:True Number of Steps:481
Episode:7 Score:99905.5 Successful:True Number of Steps:62
Episode:8 Score:99485.5 Successful:True Number of Steps:295
Episode:9 Score:99740.0 Successful:True Number of Steps:192
Episode:10 Score:-3505.75 Successful:False Number of Steps:500
Episode:11 Score:99336.0 Successful:True Number of Steps:102
Episode:12 Score:99777.75 Successful:True Number of Steps:164
Episode:13 Score:-3649.75 Successful:False Number of Steps:500
Episode:14 Score:98629.75 Successful:True Number of Steps:407
Episode:15 Score:99562.25 Successful:True Number of Steps:303
Episode:16 Score:99148.5 Successful:True Number of Steps:303
Episode:17 Score:99793.0 Successful:True Number of Steps:183
Episode:18 Score:-6358.75 Successful:False Number of Steps:500
Episode:19 Score:99682.5 Successful:True Number of Steps:211
Episode:20 Score:99727.25 Successful:True Number of Steps:190
Episode:21 Score:-1000.75 Successful:False Number of Steps:500
Episode:22 Score:99569.5 Successful:True Number of Steps:286
Episode:23 Score:98341.75 Successful:True Number of Steps:245
Episode:24 Score:-2067.5 Successful:False Number of Steps:500
Episode:25 Score:99388.25 Successful:True Number of Steps:384
Episode:26 Score:99759.75 Successful:True Number of Steps:152
Episode:27 Score:99575.5 Successful:True Number of Steps:285
Episode:28 Score:-5981.25 Successful:False Number of Steps:500
Episode:29 Score:99197.5 Successful:True Number of Steps:251
Episode:30 Score:98225.5 Successful:True Number of Steps:168
number successful: 23
RESULTS FOR STARTING POSITION: (0,21)
Episode:1 Score:99715.0 Successful:True Number of Steps:189
Episode:2 Score:99809.75 Successful:True Number of Steps:98
Episode:3 Score:99543.25 Successful:True Number of Steps:261
Episode:4 Score:-1081.5 Successful:False Number of Steps:500
Episode:5 Score:98509.0 Successful:True Number of Steps:439
Episode:6 Score:99696.75 Successful:True Number of Steps:126
Episode:7 Score:99566.75 Successful:True Number of Steps:33
Episode:8 Score:99413.5 Successful:True Number of Steps:185
Episode:9 Score:-8789.75 Successful:False Number of Steps:500
Episode:10 Score:99808.0 Successful:True Number of Steps:144
Episode:11 Score:97044.5 Successful:True Number of Steps:320
Episode:12 Score:95897.25 Successful:True Number of Steps:472
Episode:13 Score:96777.25 Successful:True Number of Steps:252
Episode:14 Score:-4352.25 Successful:False Number of Steps:500
Episode:15 Score:98921.0 Successful:True Number of Steps:484
Episode:16 Score:93076.5 Successful:True Number of Steps:424
Episode:17 Score:99318.25 Successful:True Number of Steps:175
Episode:18 Score:99719.25 Successful:True Number of Steps:137
Episode:19 Score:99683.5 Successful:True Number of Steps:23
Episode:20 Score:-7137.0 Successful:False Number of Steps:500
Episode:21 Score:99888.25 Successful:True Number of Steps:103
Episode:22 Score:98831.75 Successful:True Number of Steps:433
Episode:23 Score:-9279.25 Successful:False Number of Steps:500
Episode:24 Score:-10397.25 Successful:False Number of Steps:500
Episode:25 Score:99006.75 Successful:True Number of Steps:183
Episode:26 Score:-6684.25 Successful:False Number of Steps:500
Episode:27 Score:-5391.0 Successful:False Number of Steps:500
Episode:28 Score:99819.75 Successful:True Number of Steps:143
Episode:29 Score:99554.25 Successful:True Number of Steps:41
Episode:30 Score:99830.75 Successful:True Number of Steps:156
number successful: 22
RESULTS FOR STARTING POSITION: (1,14)
Episode:1 Score:99895.5 Successful:True Number of Steps:12
Episode:2 Score:-12481.5 Successful:False Number of Steps:500
Episode:3 Score:-12792.5 Successful:False Number of Steps:500
Episode:4 Score:99998.25 Successful:True Number of Steps:14
Episode:5 Score:99368.75 Successful:True Number of Steps:44
Episode:6 Score:95315.0 Successful:True Number of Steps:313
Episode:7 Score:99998.75 Successful:True Number of Steps:8
Episode:8 Score:96266.0 Successful:True Number of Steps:187
Episode:9 Score:99599.25 Successful:True Number of Steps:36
Episode:10 Score:99999.75 Successful:True Number of Steps:8
Episode:11 Score:98973.75 Successful:True Number of Steps:82
Episode:12 Score:99881.25 Successful:True Number of Steps:17
Episode:13 Score:99899.25 Successful:True Number of Steps:21
Episode:14 Score:-8110.0 Successful:False Number of Steps:500
Episode:15 Score:99996.5 Successful:True Number of Steps:9
Episode:16 Score:99997 Successful:True Number of Steps:5
Episode:17 Score:99898.75 Successful:True Number of Steps:15
Episode:18 Score:99795.5 Successful:True Number of Steps:17
Episode:19 Score:99899.75 Successful:True Number of Steps:5
Episode:20 Score:99999.75 Successful:True Number of Steps:4
Episode:21 Score:99889.25 Successful:True Number of Steps:16
Episode:22 Score:99799.25 Successful:True Number of Steps:12
Episode:23 Score:99480.25 Successful:True Number of Steps:26
Episode:24 Score:100000 Successful:True Number of Steps:4
Episode:25 Score:99190.25 Successful:True Number of Steps:29
Episode:26 Score:98754.5 Successful:True Number of Steps:81
Episode:27 Score:99597.5 Successful:True Number of Steps:36
Episode:28 Score:100000 Successful:True Number of Steps:14
Episode:29 Score:99795.25 Successful:True Number of Steps:27
Episode:30 Score:99290.75 Successful:True Number of Steps:51
number successful: 27
RESULTS FOR STARTING POSITION: (25,9)
Episode:1 Score:98734.75 Successful:True Number of Steps:211
Episode:2 Score:99939.0 Successful:True Number of Steps:50
Episode:3 Score:99937.0 Successful:True Number of Steps:48
Episode:4 Score:99957.0 Successful:True Number of Steps:41
Episode:5 Score:99944.5 Successful:True Number of Steps:40
