RESULTS FOR STARTING POSITION: (21,18)
Episode:1 Score:99994.5 Successful:True Number of Steps:14
Episode:2 Score:99994.5 Successful:True Number of Steps:14
Episode:3 Score:99994.5 Successful:True Number of Steps:16
Episode:4 Score:99991.0 Successful:True Number of Steps:17
Episode:5 Score:99992.0 Successful:True Number of Steps:16
Episode:6 Score:99992.0 Successful:True Number of Steps:20
Episode:7 Score:99994.5 Successful:True Number of Steps:14
Episode:8 Score:99994.5 Successful:True Number of Steps:14
Episode:9 Score:99991.0 Successful:True Number of Steps:17
Episode:10 Score:99990.5 Successful:True Number of Steps:18
Episode:11 Score:99994.5 Successful:True Number of Steps:14
Episode:12 Score:99989.5 Successful:True Number of Steps:17
Episode:13 Score:99994.5 Successful:True Number of Steps:14
Episode:14 Score:99994.5 Successful:True Number of Steps:14
Episode:15 Score:99994.5 Successful:True Number of Steps:14
Episode:16 Score:99992.75 Successful:True Number of Steps:16
Episode:17 Score:99993.0 Successful:True Number of Steps:18
Episode:18 Score:99994.5 Successful:True Number of Steps:14
Episode:19 Score:99994.5 Successful:True Number of Steps:14
Episode:20 Score:99993.5 Successful:True Number of Steps:16
Episode:21 Score:99994.0 Successful:True Number of Steps:16
Episode:22 Score:99985.0 Successful:True Number of Steps:21
Episode:23 Score:99994.5 Successful:True Number of Steps:14
Episode:24 Score:99994.5 Successful:True Number of Steps:14
Episode:25 Score:99991.5 Successful:True Number of Steps:15
Episode:26 Score:99990.75 Successful:True Number of Steps:20
Episode:27 Score:99994.5 Successful:True Number of Steps:14
Episode:28 Score:99994.0 Successful:True Number of Steps:18
Episode:29 Score:99994.5 Successful:True Number of Steps:14
Episode:30 Score:99994.5 Successful:True Number of Steps:14
number successful: 30
RESULTS FOR STARTING POSITION: (1,11)
Episode:1 Score:100000 Successful:True Number of Steps:1
Episode:2 Score:100000 Successful:True Number of Steps:1
Episode:3 Score:100000 Successful:True Number of Steps:1
Episode:4 Score:100000 Successful:True Number of Steps:1
Episode:5 Score:100000 Successful:True Number of Steps:1
Episode:6 Score:100000 Successful:True Number of Steps:1
Episode:7 Score:100000 Successful:True Number of Steps:1
Episode:8 Score:100000 Successful:True Number of Steps:1
Episode:9 Score:100000 Successful:True Number of Steps:1
Episode:10 Score:100000 Successful:True Number of Steps:1
Episode:11 Score:100000 Successful:True Number of Steps:1
Episode:12 Score:100000 Successful:True Number of Steps:3
Episode:13 Score:100000 Successful:True Number of Steps:1
Episode:14 Score:100000 Successful:True Number of Steps:1
Episode:15 Score:100000 Successful:True Number of Steps:1
Episode:16 Score:100000 Successful:True Number of Steps:1
Episode:17 Score:100000 Successful:True Number of Steps:1
Episode:18 Score:100000 Successful:True Number of Steps:3
Episode:19 Score:100000 Successful:True Number of Steps:1
Episode:20 Score:100000 Successful:True Number of Steps:1
Episode:21 Score:100000 Successful:True Number of Steps:1
Episode:22 Score:100000 Successful:True Number of Steps:1
Episode:23 Score:100000 Successful:True Number of Steps:1
Episode:24 Score:100000 Successful:True Number of Steps:1
Episode:25 Score:100000 Successful:True Number of Steps:1
Episode:26 Score:100000 Successful:True Number of Steps:1
Episode:27 Score:100000 Successful:True Number of Steps:1
Episode:28 Score:100000 Successful:True Number of Steps:1
Episode:29 Score:100000 Successful:True Number of Steps:1
Episode:30 Score:100000 Successful:True Number of Steps:1
number successful: 30
RESULTS FOR STARTING POSITION: (17,28)
Episode:1 Score:100000 Successful:True Number of Steps:2
Episode:2 Score:100000 Successful:True Number of Steps:2
Episode:3 Score:100000 Successful:True Number of Steps:2
Episode:4 Score:100000 Successful:True Number of Steps:2
Episode:5 Score:100000 Successful:True Number of Steps:2
Episode:6 Score:100000 Successful:True Number of Steps:2
Episode:7 Score:100000 Successful:True Number of Steps:2
Episode:8 Score:100000 Successful:True Number of Steps:2
Episode:9 Score:100000 Successful:True Number of Steps:2
Episode:10 Score:100000 Successful:True Number of Steps:2
Episode:11 Score:100000 Successful:True Number of Steps:2
Episode:12 Score:100000 Successful:True Number of Steps:2
Episode:13 Score:100000 Successful:True Number of Steps:4
Episode:14 Score:99997 Successful:True Number of Steps:3
Episode:15 Score:100000 Successful:True Number of Steps:2
Episode:16 Score:100000 Successful:True Number of Steps:2
Episode:17 Score:100000 Successful:True Number of Steps:2
Episode:18 Score:100000 Successful:True Number of Steps:2
Episode:19 Score:100000 Successful:True Number of Steps:2
Episode:20 Score:100000 Successful:True Number of Steps:4
Episode:21 Score:100000 Successful:True Number of Steps:2
Episode:22 Score:100000 Successful:True Number of Steps:2
Episode:23 Score:100000 Successful:True Number of Steps:2
Episode:24 Score:100000 Successful:True Number of Steps:2
Episode:25 Score:100000 Successful:True Number of Steps:2
Episode:26 Score:100000 Successful:True Number of Steps:2
Episode:27 Score:100000 Successful:True Number of Steps:2
Episode:28 Score:100000 Successful:True Number of Steps:2
Episode:29 Score:100000 Successful:True Number of Steps:2
Episode:30 Score:100000 Successful:True Number of Steps:2
number successful: 30
RESULTS FOR STARTING POSITION: (3,11)
Episode:1 Score:100000 Successful:True Number of Steps:3
Episode:2 Score:100000 Successful:True Number of Steps:3
Episode:3 Score:100000 Successful:True Number of Steps:3
Episode:4 Score:100000 Successful:True Number of Steps:3
Episode:5 Score:99999.5 Successful:True Number of Steps:5
Episode:6 Score:100000 Successful:True Number of Steps:3
Episode:7 Score:100000 Successful:True Number of Steps:3
Episode:8 Score:100000 Successful:True Number of Steps:3
Episode:9 Score:99999.75 Successful:True Number of Steps:5
Episode:10 Score:100000 Successful:True Number of Steps:3
Episode:11 Score:100000 Successful:True Number of Steps:3
Episode:12 Score:100000 Successful:True Number of Steps:3
Episode:13 Score:100000 Successful:True Number of Steps:7
Episode:14 Score:100000 Successful:True Number of Steps:3
Episode:15 Score:100000 Successful:True Number of Steps:3
Episode:16 Score:100000 Successful:True Number of Steps:5
Episode:17 Score:100000 Successful:True Number of Steps:3
Episode:18 Score:100000 Successful:True Number of Steps:5
Episode:19 Score:100000 Successful:True Number of Steps:3
Episode:20 Score:100000 Successful:True Number of Steps:3
Episode:21 Score:100000 Successful:True Number of Steps:3
Episode:22 Score:100000 Successful:True Number of Steps:3
Episode:23 Score:100000 Successful:True Number of Steps:3
Episode:24 Score:100000 Successful:True Number of Steps:3
Episode:25 Score:100000 Successful:True Number of Steps:3
Episode:26 Score:100000 Successful:True Number of Steps:3
