Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): df
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): sf
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): sadf
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
RESULTS FOR STARTING POSITION: (14,20)
Episode:1 Score:-3922.401213673954 Successful:False Number of Steps:500
Episode:2 Score:-3894.7440135134007 Successful:False Number of Steps:500
Episode:3 Score:-3863.733411959165 Successful:False Number of Steps:500
Episode:4 Score:-3856.7703520394894 Successful:False Number of Steps:500
Episode:5 Score:-4142.724325687192 Successful:False Number of Steps:500
Episode:6 Score:96666.82742430796 Successful:True Number of Steps:341
Episode:7 Score:-3355.3829239850256 Successful:False Number of Steps:500
Episode:8 Score:-5034.665149310753 Successful:False Number of Steps:500
Episode:9 Score:-3790.3015517960284 Successful:False Number of Steps:500
Episode:10 Score:98072.55398091895 Successful:True Number of Steps:339
Episode:11 Score:-3397.7283163977136 Successful:False Number of Steps:500
Episode:12 Score:-4807.56538256884 Successful:False Number of Steps:500
Episode:13 Score:-3495.769584197619 Successful:False Number of Steps:500
Episode:14 Score:-3834.090674142578 Successful:False Number of Steps:500
Episode:15 Score:-4778.658726250396 Successful:False Number of Steps:500
Episode:16 Score:-4633.184443903809 Successful:False Number of Steps:500
Episode:17 Score:-2737.5002590079794 Successful:False Number of Steps:500
Episode:18 Score:97959.30160809153 Successful:True Number of Steps:314
Episode:19 Score:-2888.180775405275 Successful:False Number of Steps:500
Episode:20 Score:-3021.857886929292 Successful:False Number of Steps:500
Episode:21 Score:94959.26739367415 Successful:True Number of Steps:458
Episode:22 Score:-5463.607868156802 Successful:False Number of Steps:500
Episode:23 Score:-4548.156915240774 Successful:False Number of Steps:500
Episode:24 Score:-4563.575603664807 Successful:False Number of Steps:500
Episode:25 Score:-4196.732367816732 Successful:False Number of Steps:500
Episode:26 Score:99132.74553116984 Successful:True Number of Steps:139
Episode:27 Score:-3168.302033376075 Successful:False Number of Steps:500
Episode:28 Score:-3466.266066403277 Successful:False Number of Steps:500
Episode:29 Score:-5525.349653971305 Successful:False Number of Steps:500
Episode:30 Score:-3165.322148516854 Successful:False Number of Steps:500
number successful: 5
RESULTS FOR STARTING POSITION: (16,2)
Episode:1 Score:99868.78065236872 Successful:True Number of Steps:5
Episode:2 Score:99865.78065236872 Successful:True Number of Steps:6
Episode:3 Score:99631.77634356379 Successful:True Number of Steps:57
Episode:4 Score:99772.78065236872 Successful:True Number of Steps:37
Episode:5 Score:99862.78065236872 Successful:True Number of Steps:7
Episode:6 Score:99865.78065236872 Successful:True Number of Steps:6
Episode:7 Score:99760.78065236872 Successful:True Number of Steps:41
Episode:8 Score:99691.0065347282 Successful:True Number of Steps:38
Episode:9 Score:99832.78065236872 Successful:True Number of Steps:17
Episode:10 Score:99686.50545672409 Successful:True Number of Steps:39
Episode:11 Score:99646.77203475886 Successful:True Number of Steps:25
Episode:12 Score:99046.68615793718 Successful:True Number of Steps:199
Episode:13 Score:99509.29044958734 Successful:True Number of Steps:53
Episode:14 Score:99646.78065236872 Successful:True Number of Steps:79
Episode:15 Score:99059.32434092168 Successful:True Number of Steps:122
Episode:16 Score:99796.78065236872 Successful:True Number of Steps:29
Episode:17 Score:99823.78065236872 Successful:True Number of Steps:20
Episode:18 Score:99777.24334928022 Successful:True Number of Steps:9
Episode:19 Score:99832.78065236872 Successful:True Number of Steps:17
Episode:20 Score:99856.78065236872 Successful:True Number of Steps:9
Episode:21 Score:99871.78065236872 Successful:True Number of Steps:4
Episode:22 Score:99832.78065236872 Successful:True Number of Steps:17
Episode:23 Score:99862.78065236872 Successful:True Number of Steps:7
Episode:24 Score:99474.62460110767 Successful:True Number of Steps:56
Episode:25 Score:99052.14885484868 Successful:True Number of Steps:106
Episode:26 Score:98519.7207907785 Successful:True Number of Steps:288
Episode:27 Score:99865.78065236872 Successful:True Number of Steps:6
Episode:28 Score:99799.78065236872 Successful:True Number of Steps:28
Episode:29 Score:99811.78065236872 Successful:True Number of Steps:24
Episode:30 Score:99730.77634356379 Successful:True Number of Steps:24
number successful: 30
RESULTS FOR STARTING POSITION: (20,11)
Episode:1 Score:99272.232546636 Successful:True Number of Steps:82
Episode:2 Score:98844.11564181207 Successful:True Number of Steps:193
Episode:3 Score:-2671.242761890677 Successful:False Number of Steps:500
Episode:4 Score:99363.4898725483 Successful:True Number of Steps:81
Episode:5 Score:-2555.4904603238533 Successful:False Number of Steps:500
Episode:6 Score:-2760.1010382612776 Successful:False Number of Steps:500
Episode:7 Score:-2489.6764788748173 Successful:False Number of Steps:500
Episode:8 Score:98718.36186489453 Successful:True Number of Steps:180
Episode:9 Score:-2672.888960842488 Successful:False Number of Steps:500
Episode:10 Score:-3441.3956006548647 Successful:False Number of Steps:500
Episode:11 Score:-2489.1983332221057 Successful:False Number of Steps:500
Episode:12 Score:-2849.3849636828554 Successful:False Number of Steps:500
Episode:13 Score:-2579.636019617974 Successful:False Number of Steps:500
Episode:14 Score:-2848.101133452241 Successful:False Number of Steps:500
Episode:15 Score:-3069.87002667634 Successful:False Number of Steps:500
Episode:16 Score:-3392.1553271248636 Successful:False Number of Steps:500
Episode:17 Score:-2399.2712120200963 Successful:False Number of Steps:500
Episode:18 Score:-2581.831999269578 Successful:False Number of Steps:500
Episode:19 Score:96733.64106685578 Successful:True Number of Steps:417
Episode:20 Score:-2941.3679537413464 Successful:False Number of Steps:500
Episode:21 Score:-2762.738297805519 Successful:False Number of Steps:500
Episode:22 Score:-3118.688181636172 Successful:False Number of Steps:500
Episode:23 Score:-2309.3440908180864 Successful:False Number of Steps:500
Episode:24 Score:-2491.601568668775 Successful:False Number of Steps:500
Episode:25 Score:-3031.7458223312606 Successful:False Number of Steps:500
Episode:26 Score:-3602.7643191078887 Successful:False Number of Steps:500
