Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): 
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): 
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): 
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
RESULTS FOR STARTING POSITION: (10,27)
Episode:1 Score:-2876.573421676384 Successful:False Number of Steps:500
Episode:2 Score:-2988.8378999422985 Successful:False Number of Steps:500
Episode:3 Score:-2543.9196964275843 Successful:False Number of Steps:500
Episode:4 Score:-2603.7427315320333 Successful:False Number of Steps:500
Episode:5 Score:-2380.5564391465523 Successful:False Number of Steps:500
Episode:6 Score:-3061.547754746963 Successful:False Number of Steps:500
Episode:7 Score:-3066.649129696595 Successful:False Number of Steps:500
Episode:8 Score:-2624.6090162519295 Successful:False Number of Steps:500
Episode:9 Score:-3127.110686394961 Successful:False Number of Steps:500
Episode:10 Score:-2404.281148650927 Successful:False Number of Steps:500
Episode:11 Score:-2684.9266988788318 Successful:False Number of Steps:500
Episode:12 Score:-2409.541788240215 Successful:False Number of Steps:500
Episode:13 Score:-2472.4368934335953 Successful:False Number of Steps:500
Episode:14 Score:-2540.8280183855923 Successful:False Number of Steps:500
Episode:15 Score:-3312.911064384835 Successful:False Number of Steps:500
Episode:16 Score:-2534.4593437685694 Successful:False Number of Steps:500
Episode:17 Score:99206.4877747143 Successful:True Number of Steps:133
Episode:18 Score:-3261.6466021806536 Successful:False Number of Steps:500
Episode:19 Score:-2337.6888645249855 Successful:False Number of Steps:500
Episode:20 Score:-2269.449042429455 Successful:False Number of Steps:500
Episode:21 Score:-2447.9749532089163 Successful:False Number of Steps:500
Episode:22 Score:-2518.276235656438 Successful:False Number of Steps:500
Episode:23 Score:-3172.31470765496 Successful:False Number of Steps:500
Episode:24 Score:-2774.740718761717 Successful:False Number of Steps:500
Episode:25 Score:-2681.0329627879096 Successful:False Number of Steps:500
Episode:26 Score:98929.12051742351 Successful:True Number of Steps:177
Episode:27 Score:-2690.2000702963337 Successful:False Number of Steps:500
Episode:28 Score:98716.29609252731 Successful:True Number of Steps:226
Episode:29 Score:-2967.3305398491584 Successful:False Number of Steps:500
Episode:30 Score:97978.71335486413 Successful:True Number of Steps:396
number successful: 4
RESULTS FOR STARTING POSITION: (3,16)
Episode:1 Score:-3201.008848502279 Successful:False Number of Steps:500
Episode:2 Score:-2217.784988840195 Successful:False Number of Steps:500
Episode:3 Score:-2847.6377797765226 Successful:False Number of Steps:500
Episode:4 Score:-2838.327643159098 Successful:False Number of Steps:500
Episode:5 Score:-3181.6533498181425 Successful:False Number of Steps:500
Episode:6 Score:-2562.691669053489 Successful:False Number of Steps:500
Episode:7 Score:-2427.00013074549 Successful:False Number of Steps:500
Episode:8 Score:-2629.7887612285795 Successful:False Number of Steps:500
Episode:9 Score:-2491.344737663425 Successful:False Number of Steps:500
Episode:10 Score:-2286.1749260460024 Successful:False Number of Steps:500
Episode:11 Score:-2422.9548004576172 Successful:False Number of Steps:500
Episode:12 Score:-2115.5094348522666 Successful:False Number of Steps:500
Episode:13 Score:-2565.4891950808405 Successful:False Number of Steps:500
Episode:14 Score:-2081.00511442858 Successful:False Number of Steps:500
Episode:15 Score:-3190.0776889949107 Successful:False Number of Steps:500
Episode:16 Score:-2779.3793928627083 Successful:False Number of Steps:500
Episode:17 Score:-2594.6218108432636 Successful:False Number of Steps:500
Episode:18 Score:-2628.12461207504 Successful:False Number of Steps:500
Episode:19 Score:-2491.800924700354 Successful:False Number of Steps:500
Episode:20 Score:-2971.352437376274 Successful:False Number of Steps:500
Episode:21 Score:-2389.6102536265307 Successful:False Number of Steps:500
Episode:22 Score:-2217.7849888401947 Successful:False Number of Steps:500
Episode:23 Score:-2560.4717441903927 Successful:False Number of Steps:500
Episode:24 Score:-2150.603013750998 Successful:False Number of Steps:500
Episode:25 Score:-3039.657491667975 Successful:False Number of Steps:500
Episode:26 Score:-3760.284303629916 Successful:False Number of Steps:500
Episode:27 Score:-2286.6311130829317 Successful:False Number of Steps:500
Episode:28 Score:-2217.7849888401943 Successful:False Number of Steps:500
Episode:29 Score:-2628.1246120750397 Successful:False Number of Steps:500
Episode:30 Score:-2149.3950516343875 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (0,13)
Episode:1 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:2 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:3 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:4 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:5 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:6 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:7 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:8 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:9 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:10 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:11 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:12 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:13 Score:99894.46836112706 Successful:True Number of Steps:4
Episode:14 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:15 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:16 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:17 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:18 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:19 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:20 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:21 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:22 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:23 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:24 Score:99825.30418940113 Successful:True Number of Steps:6
Episode:25 Score:99965.35929320207 Successful:True Number of Steps:2
Episode:26 Score:99965.35929320207 Successful:True Number of Steps:2
