Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): s
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): s
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): s
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
RESULTS FOR STARTING POSITION: (17,29)
Episode:1 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:2 Score:99999.2693450692 Successful:True Number of Steps:3
Episode:3 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:4 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:5 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:6 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:7 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:8 Score:99997.10871272862 Successful:True Number of Steps:4
Episode:9 Score:99999.2693450692 Successful:True Number of Steps:3
Episode:10 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:11 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:12 Score:99996.92499655909 Successful:True Number of Steps:5
Episode:13 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:14 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:15 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:16 Score:99997.10871272862 Successful:True Number of Steps:4
Episode:17 Score:99992.58008135884 Successful:True Number of Steps:7
Episode:18 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:19 Score:99997.10871272862 Successful:True Number of Steps:4
Episode:20 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:21 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:22 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:23 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:24 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:25 Score:99995.58008135884 Successful:True Number of Steps:6
Episode:26 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:27 Score:99994.10871272862 Successful:True Number of Steps:5
Episode:28 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:29 Score:100000.10871272862 Successful:True Number of Steps:3
Episode:30 Score:100000.10871272862 Successful:True Number of Steps:3
number successful: 30
RESULTS FOR STARTING POSITION: (3,25)
Episode:1 Score:107632.20957926364 Successful:True Number of Steps:489
Episode:2 Score:7094.848667506817 Successful:False Number of Steps:500
Episode:3 Score:99993.86356691718 Successful:True Number of Steps:26
Episode:4 Score:5762.256425582742 Successful:False Number of Steps:500
Episode:5 Score:6960.423035486177 Successful:False Number of Steps:500
Episode:6 Score:6205.586064269096 Successful:False Number of Steps:500
Episode:7 Score:106268.30162123076 Successful:True Number of Steps:405
Episode:8 Score:106739.00605700657 Successful:True Number of Steps:435
Episode:9 Score:5896.562131025276 Successful:False Number of Steps:500
Episode:10 Score:6185.967046203524 Successful:False Number of Steps:500
Episode:11 Score:6552.611807815946 Successful:False Number of Steps:500
Episode:12 Score:5576.644618575642 Successful:False Number of Steps:500
Episode:13 Score:8109.237682902132 Successful:False Number of Steps:500
Episode:14 Score:5834.942380667576 Successful:False Number of Steps:500
Episode:15 Score:102832.06107364368 Successful:True Number of Steps:224
Episode:16 Score:5150.605831865867 Successful:False Number of Steps:500
Episode:17 Score:8145.38617245453 Successful:False Number of Steps:500
Episode:18 Score:6018.017349269483 Successful:False Number of Steps:500
Episode:19 Score:6032.4236489964915 Successful:False Number of Steps:500
Episode:20 Score:8130.196093835833 Successful:False Number of Steps:500
Episode:21 Score:5010.206141507338 Successful:False Number of Steps:500
Episode:22 Score:6037.705478011902 Successful:False Number of Steps:500
Episode:23 Score:8799.069496055532 Successful:False Number of Steps:500
Episode:24 Score:100091.89178809823 Successful:True Number of Steps:22
Episode:25 Score:6479.535389120708 Successful:False Number of Steps:500
Episode:26 Score:7153.36174245027 Successful:False Number of Steps:500
Episode:27 Score:7952.326792095547 Successful:False Number of Steps:500
Episode:28 Score:106484.14170483848 Successful:True Number of Steps:396
Episode:29 Score:6530.891985782931 Successful:False Number of Steps:500
Episode:30 Score:5637.29279336777 Successful:False Number of Steps:500
number successful: 7
RESULTS FOR STARTING POSITION: (11,28)
Episode:1 Score:2525.9170835373293 Successful:False Number of Steps:500
Episode:2 Score:2640.7893101909604 Successful:False Number of Steps:500
Episode:3 Score:2071.436122615258 Successful:False Number of Steps:500
Episode:4 Score:2526.575025113538 Successful:False Number of Steps:500
Episode:5 Score:3175.3611412584696 Successful:False Number of Steps:500
Episode:6 Score:2621.0187850533925 Successful:False Number of Steps:500
Episode:7 Score:2259.1558450477028 Successful:False Number of Steps:500
Episode:8 Score:2360.784199016286 Successful:False Number of Steps:500
Episode:9 Score:2358.748456680074 Successful:False Number of Steps:500
Episode:10 Score:2080.171596551101 Successful:False Number of Steps:500
Episode:11 Score:6138.915042003544 Successful:False Number of Steps:500
Episode:12 Score:3214.635765168837 Successful:False Number of Steps:500
Episode:13 Score:2530.716334648429 Successful:False Number of Steps:500
Episode:14 Score:2200.9276649888707 Successful:False Number of Steps:500
Episode:15 Score:2449.2144910576576 Successful:False Number of Steps:500
Episode:16 Score:3840.96099431387 Successful:False Number of Steps:500
Episode:17 Score:3275.8372238070056 Successful:False Number of Steps:500
Episode:18 Score:3068.595536498382 Successful:False Number of Steps:500
Episode:19 Score:3737.5090078807043 Successful:False Number of Steps:500
Episode:20 Score:2443.8657728604235 Successful:False Number of Steps:500
Episode:21 Score:4829.939720685053 Successful:False Number of Steps:500
Episode:22 Score:3399.793993047936 Successful:False Number of Steps:500
Episode:23 Score:3851.091896877245 Successful:False Number of Steps:500
Episode:24 Score:2093.4710135937903 Successful:False Number of Steps:500
Episode:25 Score:2303.444615202462 Successful:False Number of Steps:500
Episode:26 Score:3278.0356904235327 Successful:False Number of Steps:500
Episode:27 Score:1839.0874100142225 Successful:False Number of Steps:500
Episode:28 Score:4501.091596694008 Successful:False Number of Steps:500
