Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): tTravisPositive
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): travis code but make hyperparameter positive
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): A2C
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
RESULTS FOR STARTING POSITION: (0,16)
Episode:1 Score:99084.37901275075 Successful:True Number of Steps:7
Episode:2 Score:96219.06669682192 Successful:True Number of Steps:113
Episode:3 Score:98633.96687042044 Successful:True Number of Steps:8
Episode:4 Score:98600.37901275075 Successful:True Number of Steps:39
Episode:5 Score:97499.85408637922 Successful:True Number of Steps:105
Episode:6 Score:97943.85408637922 Successful:True Number of Steps:54
Episode:7 Score:98087.11654956499 Successful:True Number of Steps:92
Episode:8 Score:98990.37901275075 Successful:True Number of Steps:6
Episode:9 Score:98906.37901275075 Successful:True Number of Steps:34
Episode:10 Score:98770.37901275075 Successful:True Number of Steps:47
Episode:11 Score:99045.37901275075 Successful:True Number of Steps:20
Episode:12 Score:98525.17016783183 Successful:True Number of Steps:11
Episode:13 Score:98952.37901275075 Successful:True Number of Steps:51
Episode:14 Score:98039.87694516008 Successful:True Number of Steps:53
Episode:15 Score:99012.37901275075 Successful:True Number of Steps:31
Episode:16 Score:98094.85408637922 Successful:True Number of Steps:36
Episode:17 Score:99048.37901275075 Successful:True Number of Steps:19
Episode:18 Score:-10572.388910585345 Successful:False Number of Steps:500
Episode:19 Score:-8848.846782868124 Successful:False Number of Steps:500
Episode:20 Score:99033.37901275075 Successful:True Number of Steps:24
Episode:21 Score:98431.11654956499 Successful:True Number of Steps:42
Episode:22 Score:97846.85408637922 Successful:True Number of Steps:54
Episode:23 Score:97937.85408637922 Successful:True Number of Steps:56
Episode:24 Score:97905.06785621723 Successful:True Number of Steps:65
Episode:25 Score:99045.37901275075 Successful:True Number of Steps:20
Episode:26 Score:97453.59162319345 Successful:True Number of Steps:67
Episode:27 Score:99048.37901275075 Successful:True Number of Steps:19
Episode:28 Score:99072.37901275075 Successful:True Number of Steps:11
Episode:29 Score:96793.32916000769 Successful:True Number of Steps:72
Episode:30 Score:98837.37901275075 Successful:True Number of Steps:57
number successful: 28
RESULTS FOR STARTING POSITION: (9,10)
Episode:1 Score:-7390.140863131146 Successful:False Number of Steps:500
Episode:2 Score:-7886.748416772327 Successful:False Number of Steps:500
Episode:3 Score:-8361.171701489428 Successful:False Number of Steps:500
Episode:4 Score:-11655.868506233732 Successful:False Number of Steps:500
Episode:5 Score:-13381.203767160236 Successful:False Number of Steps:500
Episode:6 Score:-13938.548123351244 Successful:False Number of Steps:500
Episode:7 Score:-6565.388981249756 Successful:False Number of Steps:500
Episode:8 Score:-10889.139986964794 Successful:False Number of Steps:500
Episode:9 Score:-13432.170035816971 Successful:False Number of Steps:500
Episode:10 Score:-9143.290863147198 Successful:False Number of Steps:500
Episode:11 Score:-9067.500329583381 Successful:False Number of Steps:500
Episode:12 Score:-11640.272188328734 Successful:False Number of Steps:500
Episode:13 Score:-9656.649399027081 Successful:False Number of Steps:500
Episode:14 Score:-12684.604692203702 Successful:False Number of Steps:500
Episode:15 Score:-10324.260647516481 Successful:False Number of Steps:500
Episode:16 Score:-11683.127609938614 Successful:False Number of Steps:500
Episode:17 Score:-13348.825164998356 Successful:False Number of Steps:500
Episode:18 Score:-13404.565059636589 Successful:False Number of Steps:500
Episode:19 Score:-11159.5694361622 Successful:False Number of Steps:500
Episode:20 Score:-10113.93683648487 Successful:False Number of Steps:500
Episode:21 Score:-11670.442519442226 Successful:False Number of Steps:500
Episode:22 Score:-14965.249046268562 Successful:False Number of Steps:500
Episode:23 Score:-12006.954222010834 Successful:False Number of Steps:500
Episode:24 Score:-13682.518858627205 Successful:False Number of Steps:500
Episode:25 Score:-6072.756682608889 Successful:False Number of Steps:500
Episode:26 Score:-8063.152757342224 Successful:False Number of Steps:500
Episode:27 Score:-10141.66501062037 Successful:False Number of Steps:500
Episode:28 Score:-11092.729092504322 Successful:False Number of Steps:500
Episode:29 Score:-8921.186532963615 Successful:False Number of Steps:500
Episode:30 Score:-12896.487128143946 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (25,21)
Episode:1 Score:-13683.830737835606 Successful:False Number of Steps:500
Episode:2 Score:-6430.54319120014 Successful:False Number of Steps:500
Episode:3 Score:-9935.660851356479 Successful:False Number of Steps:500
Episode:4 Score:-10879.516593630353 Successful:False Number of Steps:500
Episode:5 Score:-17419.64253910973 Successful:False Number of Steps:500
Episode:6 Score:-17541.84154502646 Successful:False Number of Steps:500
Episode:7 Score:-12559.721183990769 Successful:False Number of Steps:500
Episode:8 Score:-11330.190607916435 Successful:False Number of Steps:500
Episode:9 Score:-13139.403326657626 Successful:False Number of Steps:500
Episode:10 Score:-15593.381830647913 Successful:False Number of Steps:500
Episode:11 Score:-15056.079690322942 Successful:False Number of Steps:500
Episode:12 Score:-8093.223451592872 Successful:False Number of Steps:500
Episode:13 Score:-9893.083180895712 Successful:False Number of Steps:500
Episode:14 Score:-14428.902382086391 Successful:False Number of Steps:500
Episode:15 Score:-11376.101407482793 Successful:False Number of Steps:500
Episode:16 Score:-18280.30726675182 Successful:False Number of Steps:500
Episode:17 Score:-8416.903732904084 Successful:False Number of Steps:500
Episode:18 Score:-16963.00025754472 Successful:False Number of Steps:500
Episode:19 Score:-20440.85018846309 Successful:False Number of Steps:500
Episode:20 Score:-13560.447987665462 Successful:False Number of Steps:500
Episode:21 Score:-10445.030423279251 Successful:False Number of Steps:500
Episode:22 Score:-23312.443582711963 Successful:False Number of Steps:500
Episode:23 Score:-21517.727967166666 Successful:False Number of Steps:500
Episode:24 Score:-11065.120421334605 Successful:False Number of Steps:500
Episode:25 Score:-13899.91250864813 Successful:False Number of Steps:500
Episode:26 Score:-23290.640100829554 Successful:False Number of Steps:500
