Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): travis
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): travis
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): A2C
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
RESULTS FOR STARTING POSITION: (29,30)
Episode:1 Score:110771.9962842956 Successful:False Number of Steps:500
Episode:2 Score:106982.64502103154 Successful:False Number of Steps:500
Episode:3 Score:206788.46260423912 Successful:True Number of Steps:499
Episode:4 Score:109392.60605298412 Successful:False Number of Steps:500
Episode:5 Score:107463.05698732584 Successful:False Number of Steps:500
Episode:6 Score:115083.72410067353 Successful:False Number of Steps:500
Episode:7 Score:104674.85871599968 Successful:False Number of Steps:500
Episode:8 Score:107154.9847398899 Successful:False Number of Steps:500
Episode:9 Score:107311.87640476284 Successful:False Number of Steps:500
Episode:10 Score:105708.59839445785 Successful:False Number of Steps:500
Episode:11 Score:105176.49564268994 Successful:False Number of Steps:500
Episode:12 Score:106502.06947280387 Successful:False Number of Steps:500
Episode:13 Score:108481.50260777916 Successful:False Number of Steps:500
Episode:14 Score:103610.86267273787 Successful:False Number of Steps:500
Episode:15 Score:108742.63181280512 Successful:False Number of Steps:500
Episode:16 Score:106645.44152781986 Successful:False Number of Steps:500
Episode:17 Score:105255.73744162124 Successful:False Number of Steps:500
Episode:18 Score:105722.58639531766 Successful:False Number of Steps:500
Episode:19 Score:106548.1012414476 Successful:False Number of Steps:500
Episode:20 Score:105311.45383216368 Successful:False Number of Steps:500
Episode:21 Score:110217.8308183288 Successful:False Number of Steps:500
Episode:22 Score:107305.38616662679 Successful:False Number of Steps:500
Episode:23 Score:105782.58937016013 Successful:False Number of Steps:500
Episode:24 Score:103994.42455598272 Successful:False Number of Steps:500
Episode:25 Score:108087.99044073849 Successful:False Number of Steps:500
Episode:26 Score:105751.13958819023 Successful:False Number of Steps:500
Episode:27 Score:108754.09814546909 Successful:False Number of Steps:500
Episode:28 Score:104909.05884574786 Successful:False Number of Steps:500
Episode:29 Score:107200.50269255665 Successful:False Number of Steps:500
Episode:30 Score:108258.588134121 Successful:False Number of Steps:500
number successful: 1
RESULTS FOR STARTING POSITION: (30,26)
Episode:1 Score:118436.52976657433 Successful:False Number of Steps:500
Episode:2 Score:115655.68651757282 Successful:False Number of Steps:500
Episode:3 Score:113049.19872584735 Successful:False Number of Steps:500
Episode:4 Score:117529.32246201557 Successful:False Number of Steps:500
Episode:5 Score:116984.45027602359 Successful:False Number of Steps:500
Episode:6 Score:109554.55639027161 Successful:False Number of Steps:500
Episode:7 Score:103675.52054079057 Successful:False Number of Steps:500
Episode:8 Score:112022.12151468314 Successful:False Number of Steps:500
Episode:9 Score:106224.17552872356 Successful:False Number of Steps:500
Episode:10 Score:103050.35861446321 Successful:False Number of Steps:500
Episode:11 Score:103486.27728668446 Successful:False Number of Steps:500
Episode:12 Score:105017.0369444754 Successful:False Number of Steps:500
Episode:13 Score:114582.81311717101 Successful:False Number of Steps:500
Episode:14 Score:111581.09449798138 Successful:False Number of Steps:500
Episode:15 Score:113013.25215807976 Successful:False Number of Steps:500
Episode:16 Score:113620.4564466693 Successful:False Number of Steps:500
Episode:17 Score:101157.87035937748 Successful:False Number of Steps:500
Episode:18 Score:107602.27272872442 Successful:False Number of Steps:500
Episode:19 Score:103822.75291614329 Successful:False Number of Steps:500
Episode:20 Score:105405.62500197452 Successful:False Number of Steps:500
Episode:21 Score:105982.83886285553 Successful:False Number of Steps:500
Episode:22 Score:115499.57775663739 Successful:False Number of Steps:500
Episode:23 Score:105518.40170940326 Successful:False Number of Steps:500
Episode:24 Score:105400.17917236427 Successful:False Number of Steps:500
Episode:25 Score:113700.30671175617 Successful:False Number of Steps:500
Episode:26 Score:107768.1063372169 Successful:False Number of Steps:500
Episode:27 Score:105367.54776056603 Successful:False Number of Steps:500
Episode:28 Score:112490.78131087995 Successful:False Number of Steps:500
Episode:29 Score:103763.96756188749 Successful:False Number of Steps:500
Episode:30 Score:106549.97416710612 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (11,11)
Episode:1 Score:131363.46445241183 Successful:False Number of Steps:500
Episode:2 Score:128873.25270443349 Successful:True Number of Steps:112
Episode:3 Score:132452.53095629287 Successful:False Number of Steps:500
Episode:4 Score:130318.89564260152 Successful:False Number of Steps:500
Episode:5 Score:131028.23231541352 Successful:False Number of Steps:500
Episode:6 Score:132469.91988266053 Successful:False Number of Steps:500
Episode:7 Score:121194.46998942984 Successful:False Number of Steps:500
Episode:8 Score:158248.93597197047 Successful:True Number of Steps:228
Episode:9 Score:130601.17359542934 Successful:False Number of Steps:500
Episode:10 Score:131887.35682377146 Successful:False Number of Steps:500
Episode:11 Score:130930.51256291001 Successful:False Number of Steps:500
Episode:12 Score:150929.14016518998 Successful:True Number of Steps:208
Episode:13 Score:131152.2021251179 Successful:False Number of Steps:500
Episode:14 Score:131913.73367764428 Successful:False Number of Steps:500
Episode:15 Score:112290.0039706822 Successful:True Number of Steps:51
Episode:16 Score:131231.79650309548 Successful:False Number of Steps:500
Episode:17 Score:131257.136349901 Successful:False Number of Steps:500
Episode:18 Score:129094.4222060638 Successful:False Number of Steps:500
Episode:19 Score:132601.99479376487 Successful:False Number of Steps:500
Episode:20 Score:131523.43489444026 Successful:False Number of Steps:500
Episode:21 Score:132312.598724495 Successful:False Number of Steps:500
Episode:22 Score:222954.59909368923 Successful:True Number of Steps:480
Episode:23 Score:169574.21202123765 Successful:True Number of Steps:273
Episode:24 Score:131152.26244180207 Successful:False Number of Steps:500
Episode:25 Score:131458.93848419067 Successful:False Number of Steps:500
Episode:26 Score:131934.7969582015 Successful:False Number of Steps:500
Episode:27 Score:195654.69010726555 Successful:True Number of Steps:370
Episode:28 Score:126100.97610071732 Successful:True Number of Steps:106
Episode:29 Score:131660.30081850654 Successful:False Number of Steps:500
